"","MCD_FIPS","geoid","pop","percap_inc_2015","med_inc_15older","unemp_1864_perc","bach_perc","male_perc","age_med","white_perc","black_perc","asian_perc","hisp_perc","native_perc","pov_perc","stamps_perc","house_size_ave","muni_county_2016","hindi","muni.area","muni.dense"
"1","5500100275","06000US5500100275",1660,18198,18177,6.65110851808635,17.7083333333333,46.8674698795181,46.5,95.4819277108434,0.301204819277108,0.240963855421687,4.87951807228916,0.843373493975904,21.4285714285714,34.3794579172611,2.35,"CITY OF ADAMS ADAMS","1201",4.48507007860203,370.116847877082
"2","5500100300","06000US5500100300",1438,18965,20240,4.82673267326733,11.5819209039548,49.3741307371349,48.1,92.0027816411683,0.278164116828929,1.25173852573018,4.65924895688456,0.62586926286509,16.6546503244412,18.8644688644689,2.59,"TOWN OF ADAMS ADAMS","1002",112.007504229162,12.8384255135077
"3","5500107300","06000US5500107300",853,20234,20154,8.73015873015873,6.25,53.9273153575615,58.7,97.5381008206331,0.468933177022274,0,6.79953106682298,0,16.9230769230769,15.1595744680851,2.27,"TOWN OF BIG FLATS ADAMS","1004",62.4879082815394,13.6506409553158
"4","5500116075","06000US5500116075",285,20075,23214,1.71428571428571,9.80392156862745,52.280701754386,53.6,98.2456140350877,0.350877192982456,0,1.75438596491228,0,9.82456140350877,16.9491525423729,2.42,"TOWN OF COLBURN ADAMS","1006",93.0075348810501,3.06426786135655
"5","5500119575","06000US5500119575",1617,24790,22095,7.98029556650246,16.2222222222222,50.8967223252938,45.2,94.9907235621521,0.494743351886209,0,3.58688930117502,0,9.93710691823899,13.1313131313131,2.72,"TOWN OF DELL PRAIRIE ADAMS","1008",34.8407976966049,46.4111072909669
"6","5500122000","06000US5500122000",993,20561,21490,9.15032679738562,11.3879003558719,53.0715005035247,50.3,96.5760322255791,1.81268882175227,0,0,0,12.4368048533873,18.9473684210526,2.61,"TOWN OF EASTON ADAMS","1010",57.167427524155,17.3700312049274
"7","5500127950","06000US5500127950",696,19998,NA,10.1123595505618,14.7826086956522,51.1494252873563,50.5,96.8390804597701,2.1551724137931,1.00574712643678,2.1551724137931,0,30.7407407407407,33.0049261083744,2.75,"VILLAGE OF FRIENDSHIP ADAMS","1126",2.44855353587484,284.249451687536
"8","5500137625","06000US5500137625",1189,27590,26875,6.33093525179856,12.6139817629179,48.2758620689655,55.2,93.6080740117746,0,0,4.70984020185029,0.925147182506308,11.2820512820513,7.28051391862955,2.55,"TOWN OF JACKSON ADAMS","1012",44.7876010658884,26.5475259157289
"9","5500143425","06000US5500143425",324,19373,19722,10.6796116504854,11.2359550561798,58.9506172839506,44.2,95.9876543209877,0,0,0,2.46913580246914,16.5584415584416,22.3214285714286,2.89,"TOWN OF LEOLA ADAMS","1014",96.5810238039786,3.35469626681109
"10","5500144250","06000US5500144250",362,21312,18750,4,14.0243902439024,55.524861878453,51.8,93.9226519337017,1.65745856353591,3.59116022099448,1.10497237569061,0,15.5619596541787,1.49253731343284,2.7,"TOWN OF LINCOLN ADAMS","1016",93.6041659080959,3.86734924122314
"11","5500153725","06000US5500153725",431,29463,26150,8.94308943089431,15.3846153846154,59.8607888631091,58.8,98.6078886310905,0,0,0,0,7.72833723653396,7.42574257425743,2.13,"TOWN OF MONROE ADAMS","1018",99.6587262194513,4.32475926945851
"12","5500156525","06000US5500156525",2010,15366,13493,9.41619585687382,3.32880434782609,76.5671641791045,37.6,60.1492537313433,27.6119402985075,0.945273631840796,14.7761194029851,2.98507462686567,22.0556745182013,15.5913978494624,2.57,"TOWN OF NEW CHESTER ADAMS","1020",33.3710481193767,60.2318510587298
"13","5500156750","06000US5500156750",692,22395,24750,6.58536585365854,9.35064935064935,47.8323699421965,51.6,99.8554913294798,0,0,2.3121387283237,0,11.9822485207101,19.140625,2.7,"TOWN OF NEW HAVEN ADAMS","1022",78.7395678046141,8.78846581577819
"14","5500165450","06000US5500165450",1460,21437,21228,7.18294051627385,8.51063829787234,49.5890410958904,53.9,98.4246575342466,0.0684931506849315,0,1.64383561643836,0,13.0279169649248,14.963503649635,2.66,"TOWN OF PRESTON ADAMS","1024",36.1044217609079,40.4382601573976
"15","5500165825","06000US5500165825",1229,21313,18606,7.35068912710567,8.42105263157895,55.166802278275,55.9,98.3726606997559,0.406834825061025,0,2.76647681041497,0,22.9808492922565,13.4615384615385,2.36,"TOWN OF QUINCY ADAMS","1026",45.904063002462,26.7732292005195
"16","5500167425","06000US5500167425",146,47984,20417,3.79746835443038,17.1052631578947,53.4246575342466,55,100,0,0,6.16438356164384,0,21.5277777777778,12.1212121212121,2.21,"TOWN OF RICHFIELD ADAMS","1028",92.1840587157404,1.58378793507245
"17","5500169275","06000US5500169275",2712,33203,29714,7.04879938032533,28.7693561532192,53.3185840707965,62,98.6725663716814,0,0.700589970501475,0.25811209439528,0,6.85033507073716,4.14971521562246,2.21,"TOWN OF ROME ADAMS","1030",84.7918368305834,31.9842109968517
"18","5500176350","06000US5500176350",1233,20753,18526,5.80912863070539,10.828025477707,51.0137875101379,48.3,97.242497972425,0.16220600162206,0,2.18978102189781,0,8.45188284518828,19.1268191268191,2.56,"TOWN OF SPRINGVILLE ADAMS","1032",18.0966713467667,68.1340770561265
